rule,selected_count,examples
identity,351539,aa->aa | aaa->aaa | aah->aah | aalborg->aalborg | aalii->aalii | aalst->aalst | aalto->aalto | aar->aar | aardvark->aardvark | aardwolf->aardwolf | aare->aare | aarhus->aarhus
s_strip,32293,abcs->abc | abls->abl | acoustics->acoustic | acres->acre | acrobatics->acrobat | acts->act | adams->adam | adios->adio | adirondacks->adirondack | adps->adp | aeneas->aenea | aerobatics->aerobatic
ly_strip,7651,abjectly->abject | abortively->abortive | abruptly->abrupt | absently->absent | absentmindedly->absentminded | absolutely->absolute | abstemiously->abstemious | abstractedly->abstract | abstractly->abstract | abstrusely->abstruse | absurdly->absurd | abundantly->abundant
er_strip,5855,absconder->abscond | abseiler->abseil | absorber->absorb | abstainer->abstain | abstracter->abstract | accouter->accout | adapter->adapt | adder->add | adjuster->adjust | administer->admin | admonisher->admonish | adopter->adopt
ed_strip,5278,abandoned->abandon | abashed->abash | abscessed->abscess | absorbed->absorb | abstracted->abstract | accented->accent | accepted->accept | accomplished->accomplish | accoutered->accout | accredited->accredit | accustomed->accustom | acquainted->acquaint
ing_strip,5096,abducting->abduct | abounding->abound | absorbing->absorb | accenting->accent | accepting->accept | accompanying->accompany | according->accord | accounting->account | acting->act | adducting->adduct | admonishing->admonish | affecting->affect
ness_strip,4923,abrasiveness->abrasive | abruptness->abrupt | absentmindedness->absentminded | absoluteness->absolute | abstractedness->abstract | abstractness->abstract | abstruseness->abstruse | absurdness->absurd | acceptableness->accept | acquisitiveness->acquisitive | acridness->acrid | activeness->active
ed_add_e,4550,abbreviated->abbreviate | ablated->ablate | abridged->abridge | absolved->absolve | abused->abuse | accelerated->accelerate | accoutred->accoutre | accrued->accrue | accumulated->accumulate | accursed->accurse | accused->accuse | acknowledged->acknowledge
ing_add_e,3277,abiding->abide | accommodating->accommodate | accusing->accuse | aching->ache | acquiring->acquire | activating->activate | actuating->actuate | adducing->adduce | adoring->adore | adulterating->adulterate | advancing->adv | advertising->advertise
er_add_e,3189,abjurer->abjure | abrader->abrade | abridger->abridge | absolver->absolve | abuser->abuse | accuser->accuse | achiever->achieve | acquirer->acquire | adducer->adduce | admirer->admire | adorer->adore | advancer->adv
ic_strip,2903,abasic->aba | abatic->abat | aboulic->aboul | absolutistic->absolut | abulic->abul | academic->academ | acerbic->acerb | acetic->acet | acetylic->acetyl | achromatic->achromat | achromatinic->achromatin | acidic->acid
es_strip,2595,achilles->achill | acores->acor | acrobates->acrobat | actinomycetales->actinomycetal | aedes->aed | aides->aid | alces->alc | alismales->alismal | andes->and | anguilliformes->anguilliform | anseres->ans | antares->antar
ism_strip,2417,ableism->able | ablism->abl | abolitionism->abolition | absenteeism->absent | absolutism->absolut | abstractionism->abstract | academicism->academ | academism->academ | acephalism->acephal | achromatism->achromat | actinism->actin | activism->activ
ation_to_ate,1997,abbreviation->abbreviate | abdication->abdicate | aberration->aberrate | ablactation->ablactate | ablation->ablate | abnegation->abnegate | abomination->abominate | abrogation->abrogate | acceleration->accelerate | accentuation->accentuate | acclimation->acclimate | accommodation->accommodate
ist_strip,1891,abolitionist->abolition | abortionist->abort | absolutist->absolut | abstractionist->abstract | accompanyist->accompany | accordionist->accord | activist->activ | adventist->advent | aerialist->aerial | agonist->agon | agriculturalist->agricultural | alarmist->alarm
al_strip,1845,abysmal->abysm | abyssal->abyss | accessional->access | accessorial->accessori | accidental->accid | accommodational->accommodate | acculturational->acculturate | accusal->accus | actinal->actin | adaptational->adaptation | additional->addit | adenoidal->adenoid
less_strip,1799,ageless->age | aimless->aim | airless->air | ambitionless->ambit | armless->arm | artless->art | aweless->awe | awnless->awn | backless->back | baseless->base | beakless->beak | beardless->beard
en_strip,1774,aachen->aach | acumen->acum | albumen->album | andersen->and | antwerpen->antwerp | austen->aust | awaken->awak | baleen->bale | bardeen->barde | barren->barr | batten->batt | beaten->beat
ical_to_ic,1704,acoustical->acoustic | actinometrical->actinometric | aerological->aerologic | aeronautical->aeronaut | aesthetical->aesthetic | aetiological->aetiologic | agnostical->agnostic | agonistical->agon | agrobiological->agrobiologic | agrological->agrologic | agronomical->agronomic | alchemical->alchemic
able_strip,1583,abolishable->abolish | absorbable->absorb | acceptable->accept | accomplishable->accomplish | accountable->account | acknowledgeable->acknowledge | actable->act | actionable->act | adaptable->adapt | addable->add | addressable->address | adjustable->adjust
ment_strip,1463,abandonment->abandon | abasement->abase | abashment->abash | abatement->abate | abetment->abet | abolishment->abolish | abridgement->abridge | abscondment->abscond | abutment->abut | accomplishment->accomplish | accouchement->accouche | accouterment->accout
ies_to_y,1450,abies->aby | alleghenies->allegheny | allies->ally | amenities->amen | aries->ary | authorities->auth | canaries->canary | caries->cary | civvies->civvy | contemporaries->contemporary | devries->devry | eighties->eighty
a_to_on,1420,acantha->acanthon | actaea->actaeon | actinozoa->actinozoon | agra->agron | alberta->alberton | alca->alcon | alexia->alex | andira->andiron | andromeda->andromedon | anomala->anomalon | anthozoa->anthozoon | antlia->antlion
er_undouble,1074,abetter->abet | abhorrer->abh | abutter->abut | babysitter->babysit | backslapper->backslap | bagger->bag | banner->ban | batter->bat | bedder->bed | bedsitter->bedsit | begetter->beget | beginner->begin
iness_to_y,1073,airiness->airy | airworthiness->airworthy | angriness->angry | arbitrariness->arbitrary | balkiness->balky | balminess->balmy | bawdiness->bawdy | beastliness->beast | bitchiness->bitchy | blameworthiness->blameworthy | bloodiness->bloody | bloodthirstiness->bloodthirsty
ically_to_ical,1066,academically->academ | acoustically->acoustic | aesthetically->aesthetic | algebraically->algebra | allegorically->allegoric | alphabetically->alphabet | anachronistically->anachronist | analytically->analyt | anarchically->anarch | anatomically->anatomic | angelically->angel | anisotropically->anisotropic
ship_strip,1044,academicianship->academician | accountantship->account | acquaintanceship->acquaint | airmanship->airman | airship->air | ambassadorship->ambassador | amidship->amid | apostleship->apostle | apprenticeship->apprentice | associateship->associate | attorneyship->attorney | authorship->auth
ous_strip,1043,acanthous->acanth | acephalous->acephal | acetous->acet | achromatous->achromat | acidophilous->acidophil | acrocarpous->acrocarp | acrogenous->acrogen | acronymous->acronym | adactylous->adactyl | adulterous->adult | agamous->agam | albuminous->albumin
ally_to_al,1021,abaxially->abaxial | abnormally->abnormal | abysmally->abysm | accidentally->accid | actually->actual | adaxially->adaxial | additionally->addit | adjectivally->adjectival | adverbially->adverbial | aerially->aerial | amorally->amoral | annually->annual
or_strip,993,abator->abat | abductor->abduct | abhor->abh | abstractor->abstract | accentor->accent | acceptor->accept | actor->act | adaptor->adapt | adductor->adduct | adjustor->adjust | administrator->administrat | advisor->advis
a_to_um,921,acicula->aciculum | actinia->actinium | agenda->agendum | alexandria->alexandrium | alga->algum | alumina->aluminum | americana->americanum | ammonia->ammonium | amphibia->amphibium | animalia->animalium | anna->annum | apia->apium
ful_strip,912,armful->arm | artful->art | bagful->bag | baleful->bale | baneful->bane | barnful->barn | barrelful->barrel | barrowful->barrow | bashful->bash | basinful->basin | basketful->basket | battleful->battle
ing_undouble,901,babysitting->babysit | bagging->bag | banning->ban | barring->bar | batting->bat | bedding->bed | befitting->befit | begging->beg | beginning->begin | belling->bel | betting->bet | bidding->bid
ed_undouble,868,acquitted->acquit | allotted->allot | banned->ban | barred->bar | barrelled->barrel | bedded->bed | bedimmed->bedim | befogged->befog | besotted->besot | bibbed->bib | blebbed->bleb | blurred->blur
ization_to_ize,855,acclimatization->acclimatize | actualization->actualize | alphabetization->alphabetize | americanization->americanize | amortization->amortize | anathematization->anathematize | anglicization->anglicize | animalization->animalize | atomization->atomize | authorization->authorize | barbarization->barbarize | bastardization->bastardize
i_to_us,793,aditi->aditus | agni->agnus | alberti->albertus | amati->amatus | bari->barus | charadrii->charadrius | cincinnati->cincinnatus | cocci->coccus | eurylaimi->eurylaimus | fungi->fungus | gemini->geminus | haiti->haitus
ability_to_able,791,ability->able | acceptability->accept | accountability->account | achievability->achieve | adaptability->adapt | admirability->admire | adorability->adore | advisability->advise | affability->affe | agreeability->agree | alterability->alt | amenability->amen
able_add_e,779,abatable->abate | abominable->abomine | achievable->achieve | acquirable->acquire | admirable->admire | adorable->adore | advisable->advise | affable->affe | allocatable->allocate | amicable->amice | analyzable->analyze | appeasable->appease
ably_to_able,779,abominably->abomine | acceptably->accept | admirably->admire | adorably->adore | affably->affe | agreeably->agree | allowably->allow | amiably->ami | amicably->amice | appreciably->appreci | arguably->argue | believably->believe
ily_to_y,754,airily->airy | angrily->angry | arbitrarily->arbitrary | balmily->balmy | bawdily->bawdy | bloodily->bloody | bodily->body | bonnily->bonny | breezily->breezy | busily->busy | cagily->cagy | cannily->canny
age_strip,685,acreage->acre | advantage->advant | alienage->alien | amperage->amp | anchorage->anch | apanage->apan | appendage->append | assemblage->assembl | assuage->assu | average->aver | badinage->badin | baggage->bagg
ousness_to_ous,666,abdominousness->abdominous | abstemiousness->abstemious | acidulousness->acidulous | advantageousness->advant | adventurousness->adventurous | ambidextrousness->ambidextrous | ambitiousness->ambitious | amorousness->amor | anomalousness->anomal | anxiousness->anxi | arduousness->ardu | assiduousness->assiduous
ier_to_y,598,amplifier->amplify | applier->app | barrier->barry | brazier->brazy | bustier->busty | carrier->carry | cartier->carty | cashier->cashy | chiffonier->chiffony | classifier->classify | clavier->clavy | clothier->clothy
let_strip,547,aiglet->aig | amulet->amu | anklet->ank | annulet->annu | applet->app | armlet->arm | auklet->auk | ballet->bal | bandelet->bande | bandlet->band | billet->bil | bomblet->bomb
tion_to_t,545,abduction->abduct | abjection->abject | abortion->abort | abreaction->abreact | abruption->abrupt | absorption->absorpt | abstraction->abstract | adaption->adapt | addiction->addict | addition->addit | adduction->adduct | adjunction->adjunct
ee_strip,536,absentee->absent | addressee->address | adoptee->adopt | advisee->advis | alienee->alien | appointee->appoint | assessee->assess | assignee->assign | attendee->attend | bailee->bail | bargee->barg | bootee->boot
ant_strip,517,aberrant->aberr | abeyant->abey | acceptant->accept | accordant->accord | accountant->account | adamant->adam | adulterant->adult | affiant->affi | appellant->appell | appendant->append | applicant->appl | arcsecant->arcsec
ality_to_al,515,abnormality->abnormal | actuality->actual | amorality->amoral | animality->animal | artificiality->artificial | asexuality->asexual | atonality->atonal | atypicality->atypic | banality->banal | bestiality->bestial | bilaterality->bilateral | bisexuality->bisexual
ae_to_a,486,acaridae->acarida | algae->algum | araneae->aranea | ascidiaceae->ascidiacea | blae->bla | bovinae->bovina | brae->bra | cannae->cannon | cestidae->cestida | compositae->compositum | ephemeridae->ephemerida | exuviae->exuvia
ary_strip,482,ablutionary->ablution | abolitionary->abolition | accessary->access | accretionary->accrete | actuary->actu | alimentary->ali | antiphonary->antiphon | arborary->arb | barbary->barb | basilary->basil | beggary->begg | biliary->bili
ion_strip,477,abscission->absciss | acanthion->acanth | accession->access | accordion->accord | action->act | aggression->aggress | albion->alb | amnion->amn | asterion->ast | battalion->battal | billion->bill | bullion->bull
ity_strip,469,absurdity->absurd | acerbity->acerb | acidity->acid | acridity->acrid | acuity->acu | algidity->algid | ambidexterity->ambidexter | ambiguity->ambigu | amenity->amen | angularity->angular | annuity->annu | anonymity->anonym
ling_strip,443,brisling->bris | catling->cat | changeling->change | codling->cod | cymling->cym | darkling->dark | darling->dar | duckling->duck | dumpling->dump | earthling->earth | fingerling->fing | fledgeling->fledge
ity_to_e,426,abstrusity->abstruse | adiposity->adipose | adversity->adverse | affinity->affine | agility->agile | alkalinity->alkaline | antiquity->antique | asininity->asinine | audacity->audace | austerity->austere | autoimmunity->autoimmune | bellicosity->bellicose
dom_strip,417,boredom->bore | christendom->chr | condom->con | dukedom->duke | earldom->earl | fandom->fan | fiefdom->fief | filmdom->film | freedom->free | gangdom->gang | kingdom->king | martyrdom->martyr
wise_strip,398,breadthwise->breadth | broadwise->broad | clockwise->clock | coastwise->coast | crabwise->crab | crosswise->cross | edgewise->edge | endwise->end | leastwise->least | lengthwise->length | likewise->like | longwise->long
ied_to_y,394,accompanied->accompany | allied->ally | applied->app | astonied->astony | atrophied->atrophy | balconied->balcony | beatified->beatify | bellied->bel | berried->berry | bodied->body | bountied->bounty | buried->bury
ance_strip,390,aberrance->aberr | abeyance->abey | abidance->abid | absorbance->absorb | absorptance->absorpt | acceptance->accept | accordance->accord | acquaintance->acquaint | adamance->adam | admittance->admitt | advance->adv | affiance->affi
men_to_man,322,bremen->breman | businessmen->businessman | dolmen->dolman | hymen->hyman | limen->liman | linemen->lineman | lumen->luman | numen->numan | rumen->ruman | semen->seman | turkmen->turkman | turkomen->turkoman
hood_strip,307,adulthood->adult | babyhood->baby | bachelorhood->bachel | boyhood->boy | brotherhood->broth | childhood->child | falsehood->false | fatherhood->fathe | geezerhood->geez | girlhood->girl | greenhood->green | hardihood->hardi
