base_word,group_size,words
aa,1,aa
aaa,1,aaa
aachen,1,aachen
aah,1,aah
aalborg,1,aalborg
aalii,1,aalii
aalst,1,aalst
aalto,1,aalto
aar,1,aar
aardvark,1,aardvark
aardwolf,1,aardwolf
aare,1,aare
aarhus,1,aarhus
aaron,1,aaron
aarp,1,aarp
aas,1,aas
aave,1,aave
ab,1,ab
aba,1,aba
abaca,1,abaca
abacinate,1,abacinate
aback,1,aback
abactinal,1,abactinal
abacus,1,abacus
abadan,1,abadan
abaft,1,abaft
abalone,1,abalone
abamp,1,abamp
abampere,1,abampere
abandon,2,abandon|abandoned
abandonment,1,abandonment
abarticulation,1,abarticulation
abase,1,abase
abasement,1,abasement
abash,2,abash|abashed
abashment,1,abashment
abasia,1,abasia
abasic,1,abasic
abatable,1,abatable
abate,1,abate
abatement,1,abatement
abatic,1,abatic
abatis,1,abatis
abator,1,abator
abattis,1,abattis
abattoir,1,abattoir
abaxial,2,abaxial|abaxially
abaya,1,abaya
abb,1,abb
abbacy,1,abbacy
abbatial,1,abbatial
abbe,1,abbe
abbess,1,abbess
abbey,1,abbey
abbot,1,abbot
abbreviate,2,abbreviate|abbreviated
abbreviation,1,abbreviation
abbreviator,1,abbreviator
abc,2,abc|abcs
abcoulomb,1,abcoulomb
abdias,1,abdias
abdicable,1,abdicable
abdicate,1,abdicate
abdication,1,abdication
abdicator,1,abdicator
abdomen,1,abdomen
abdominal,1,abdominal
abdominocentesis,1,abdominocentesis
abdominoplasty,1,abdominoplasty
abdominous,2,abdominous|abdominousness
abdominovesical,1,abdominovesical
abduce,1,abduce
abducens,1,abducens
abducent,1,abducent
abduct,2,abduct|abducting
abduction,1,abduction
abductor,1,abductor
abeam,1,abeam
abecedarian,1,abecedarian
abecedarius,1,abecedarius
abed,1,abed
abel,1,abel
abelard,1,abelard
abele,1,abele
abelia,1,abelia
abelmoschus,1,abelmoschus
abelmosk,1,abelmosk
abenaki,1,abenaki
aberdare,1,aberdare
aberdeen,1,aberdeen
aberdonian,1,aberdonian
